CS 11000,Introduction To Computers,Marta A. Crowe,fall
CS 15800,C Programming,William N Crum,fall
CS 15900,Programming Applications For Engineers,William N Crum,fall
CS 17700,Programming With Multimedia Objects,H. E. Dunsmore,fall
CS 18000,Programming I,H. E. Dunsmore,fall
CS 18200,Foundations Of Computer Science,Wojciech Szpankowski,fall
CS 19000-005,Emerging Scholars Sem,Gregor K. Richards,fall
CS 19000-010,Intro Prog With Concur,Aditya P. Mathur,fall
CS 19100-002,Freshm Resources Semnr,H. E. Dunsmore,fall
CS 19100-003,Freshm Resources Semnr,H. E. Dunsmore,fall
CS 19100-004,Freshm Resources Semnr,H. E. Dunsmore,fall
CS 19100-005,Freshm Resources Semnr,H. E. Dunsmore,fall
CS 19100-007,Freshm Resources Semnr,H. E. Dunsmore,fall
CS 19100-009,Freshm Resources Semnr,H. E. Dunsmore,fall
CS 19100-011,Freshm Resources Semnr,H. E. Dunsmore,fall
CS 23500,Introduction To Organizational Computing,fall
CS 24000,Programming In C,Vernon J. Rego,fall
CS 25000,Computer Architecture,Sunil Prabhakar,fall
CS 25100,Data Structures,Elisha Sacks,fall
CS 29000-001,Service Learn Outreach,fall
CS 29100-001,Soph Developmt Seminar,William N Crum,fall
CS 30700,Software Engineering I,fall
CS 33400,Fundamentals Of Computer Graphics,Daniel G. Aliaga,fall
CS 34800,Information Systems,Walid G. Aref,fall
CS 35200,Compilers: Principles And Practice,Zhiyuan Li,fall
CS 35400,Operating Systems,Gustavo Adolfo Junipero Rodriguez-rivera,fall
CS 35500,Introduction To Cryptography,fall
CS 38100,Introduction To The Analysis Of Algorithms,Susanne E. Hambrusch,fall
CS 39000-002,Service Learn Outreach,fall
CS 39700,Honors Seminar,Elisa Bertino,fall
CS 42600,Computer Security,"Samuel S. Wagstaff, Jr.",fall
CS 47100,Introduction To Artificial Intelligence,Jennifer Neville,fall
CS 49000-008,Web Info Search & Mgmt,fall
CS 49700,Honors Research Project,Elisa Bertino,fall
EC E49500,Selected Topics In Electrical And Computer Engineering,Daniel G. Aliaga,fall
CS 50100,Introduction To Computational Science,fall
CS 50200,Compiling And Programming Systems,Suresh Jagannathan,fall
CS 50300,Operating Systems,Gustavo Adolfo Junipero Rodriguez-rivera,fall
CS 51000,Software Engineering,Xiangyu Zhang,fall
CS 51500,Numerical Linear Algebra,Ahmed Sameh,fall
CS 52500,Parallel Computing,Ananth Grama,fall
CS 52600,Information Security,Ninghui Li,fall
CS 53000,Introduction To Scientific Visualization,Xavier Tricoche,fall
CS 53600,Data Communication And Computer Networks,fall
CS 54100,Database Systems,Bharat Bhargava,fall
CS 56500,Programming Languages,fall
CS 58000,"Algorithm Design, Analysis, And Implementation",Greg N. Frederickson,fall
CS 59000-003,Computing Life Science,fall
CS 59000-005,Statistical Mach Lrng,fall
CS 59000-006,Data Cntr Architecture,fall
CS 59000-007,Prin Of Prog Languages,fall
CS 59100-001,Res Sem 1st-Yr Gr Stud,Elisa Bertino,fall
CS 59100-002,Info Sec&Cybrcrime Sem,Elisa Bertino,fall
CS 59100-003,INFO SEC&CYBRCRIME SEM,Elisa Bertino,fall
CS 63800,Multimedia Networking And Operating Systems,fall
CS 11000,Introduction to Computers,Marta A. Crowe,fall
CS 15800,C Programming,William N Crum,fall
CS 15900,Programming Applications For Engineers,William N Crum,fall
CS 17700,Programming with Multimedia Objects,"H. E. Dunsmore, Lorenzo D. Martino",fall
CS 18000,Programming I,Sunil Prabhakar,fall
CS 18200,Foundations of Computer Science,Ananth Grama,fall
CS 19100,Freshman Resources Seminar,H. E. Dunsmore,fall
CS 19100-001,Freshm Resources Semnr,H. E. Dunsmore,fall
CS 23500,Introduction to Organizational Computing,fall
CS 24000,Programming in C,"Voicu S. Popescu, Vernon J. Rego",fall
CS 25000,Computer Architecture,Douglas E. Comer,fall
CS 25100,Data Structures,Gustavo Adolfo Junipero Rodriguez-rivera,fall
CS 29000-001,Service Learn Outreach,fall
CS 29100-001,Soph Developmt Seminar,William N Crum,fall
CS 33400,Fundamentals of Computer Graphics,Christoph M. Hoffmann,fall
CS 34800,Information Systems,Lorenzo D. Martino,fall
CS 35200,Compilers: Principles and Practice,Zhiyuan Li,fall
